1792390,Emma,2014,F,20799
1792391,Olivia,2014,F,19674
1792392,Sophia,2014,F,18490
1792393,Isabella,2014,F,16950
1792394,Ava,2014,F,15586
1792395,Mia,2014,F,13442
1792396,Emily,2014,F,12562
1792397,Abigail,2014,F,11985
1792398,Madison,2014,F,10247
1792399,Charlotte,2014,F,10048
1792400,Harper,2014,F,9564
1792401,Sofia,2014,F,9542
1792402,Avery,2014,F,9517
1792403,Elizabeth,2014,F,9492
1792404,Amelia,2014,F,8727
1792405,Evelyn,2014,F,8692
1792406,Ella,2014,F,8489
1792407,Chloe,2014,F,8469
1792408,Victoria,2014,F,7955
1792409,Aubrey,2014,F,7589
1792410,Grace,2014,F,7554
1792411,Zoey,2014,F,7358
1792412,Natalie,2014,F,7061
1792413,Addison,2014,F,6950
1792414,Lillian,2014,F,6869
1792415,Brooklyn,2014,F,6767
1792416,Lily,2014,F,6727
1792417,Hannah,2014,F,6512
1792418,Layla,2014,F,6428
1792419,Scarlett,2014,F,5965
1792420,Aria,2014,F,5893
1792421,Zoe,2014,F,5828
1792422,Samantha,2014,F,5680
1792423,Anna,2014,F,5639
1792424,Leah,2014,F,5563
1792425,Audrey,2014,F,5531
1792426,Ariana,2014,F,5461
1792427,Allison,2014,F,5440
1792428,Savannah,2014,F,5433
1792429,Arianna,2014,F,5240
1792430,Camila,2014,F,5194
1792431,Penelope,2014,F,5062
1792432,Gabriella,2014,F,5051
1792433,Claire,2014,F,4991
1792434,Aaliyah,2014,F,4850
1792435,Sadie,2014,F,4823
1792436,Riley,2014,F,4761
1792437,Skylar,2014,F,4732
1792438,Nora,2014,F,4708
1792439,Sarah,2014,F,4647
1792440,Hailey,2014,F,4595
1792441,Kaylee,2014,F,4513
1792442,Paisley,2014,F,4473
1792443,Kennedy,2014,F,4459
1792444,Ellie,2014,F,4442
1792445,Peyton,2014,F,4426
1792446,Annabelle,2014,F,4324
1792447,Caroline,2014,F,4307
1792448,Madelyn,2014,F,4289
1792449,Serenity,2014,F,4284
1792450,Aubree,2014,F,4258
1792451,Lucy,2014,F,4257
1792452,Alexa,2014,F,4227
1792453,Alexis,2014,F,4188
1792454,Nevaeh,2014,F,4188
1792455,Stella,2014,F,4165
1792456,Violet,2014,F,4156
1792457,Genesis,2014,F,4144
1792458,Mackenzie,2014,F,4122
1792459,Bella,2014,F,4050
1792460,Autumn,2014,F,4034
1792461,Mila,2014,F,4033
1792462,Kylie,2014,F,3928
1792463,Maya,2014,F,3904
1792464,Piper,2014,F,3840
1792465,Alyssa,2014,F,3798
1792466,Taylor,2014,F,3782
1792467,Eleanor,2014,F,3704
1792468,Melanie,2014,F,3681
1792469,Naomi,2014,F,3677
1792470,Faith,2014,F,3664
1792471,Eva,2014,F,3651
1792472,Katherine,2014,F,3651
1792473,Lydia,2014,F,3609
1792474,Brianna,2014,F,3582
1792475,Julia,2014,F,3578
1792476,Ashley,2014,F,3539
1792477,Khloe,2014,F,3518
1792478,Madeline,2014,F,3409
1792479,Ruby,2014,F,3383
1792480,Sophie,2014,F,3364
1792481,Alexandra,2014,F,3288
1792482,London,2014,F,3264
1792483,Lauren,2014,F,3072
1792484,Gianna,2014,F,3061
1792485,Isabelle,2014,F,3044
1792486,Alice,2014,F,3042
1792487,Vivian,2014,F,3040
1792488,Hadley,2014,F,2992
1792489,Jasmine,2014,F,2988
1792490,Morgan,2014,F,2984
1792491,Kayla,2014,F,2982
1792492,Cora,2014,F,2945
1792493,Bailey,2014,F,2929
1792494,Kimberly,2014,F,2883
1792495,Reagan,2014,F,2882
1792496,Hazel,2014,F,2877
1792497,Clara,2014,F,2833
1792498,Sydney,2014,F,2831
1792499,Trinity,2014,F,2781
1792500,Natalia,2014,F,2778
1792501,Valentina,2014,F,2769
1792502,Rylee,2014,F,2753
1792503,Jocelyn,2014,F,2744
1792504,Maria,2014,F,2740
