A,3537811
C,593724
B,374772
E,2396448
D,651709
G,254886
F,68630
I,1772701
H,739201
K,391021
J,410432
M,734399
L,1749028
O,1081679
N,2020826
Q,15629
P,171441
S,906431
R,1326062
U,306413
T,694480
W,119414
V,281131
Y,863697
X,105704
Z,131161
