Name,Percent Male,Percent Female
Donovan,0.9960411718131433,0.00395882818685669
Makynna,0,0
Elgin,0,0
Talley,0,0
Kaliber,0,0
Avien,0,0
Zyere,0,0
Madeliene,0,0
Shavy,0,0
Tallen,0,0
Chizaram,0.20689655172413793,0.7931034482758621
Skyi,0,0
Karrine,0,0
Leighlynn,0,0
Rafiel,0,0
Skya,0,0
Skye,0.06283280085197018,0.9371671991480298
Skyy,0.06666666666666667,0.9333333333333333
Jewels,0,0
Keileb,0,0
Keilee,0,0
Ranferi,0,0
Keilen,0,0
Wyland,0,0
Keiley,0,0
Anelys,0,0
Tracen,0,0
Tamyah,0,0
Zaidyn,0,0
Tracey,0.1702127659574468,0.8297872340425532
Persia,0,0
Tahari,0.2682926829268293,0.7317073170731707
Ingram,0,0
Martyn,0,0
Gavin,0.9984830097087378,0.001516990291262136
Michaelyn,0,0
Matthais,0,0
Braxtyn,0.9,0.1
Eryn,0.06338028169014084,0.9366197183098591
Truth,0.5932203389830508,0.4067796610169492
Namari,0,0
Chayten,0,0
Eryx,0,0
Neiko,0,0
Eternity,0,0
Laneisha,0,0
Ewing,0,0
Vitalia,0,0
Oscar,0,0
Tryton,0,0
Teliah,0,0
Ruhee,0,0
Nahshon,0,0
Haston,0,0
Vitaliy,0,0
Abbigayle,0,0
Javonte,0,0
Javonta,0,0
Missael,0,0
Maziyah,0,0
Christyana,0,0
Braylon,0.9891696750902527,0.010830324909747292
Brenda,0,0
Aissatou,0,0
Steven,0,0
Zissel,0,0
Johnanthony,0,0
Stevee,0,0
Brendy,0,0
Tyriek,0,0
Hawra,0,0
Evannie,0,0
Susana,0,0
Klayten,0,0
Emberlee,0,0
Emberley,0,0
Demarco,0,0
Ileana,0,0
Seva,0,0
Lilliana,0,0
Seve,0,0
Ariyel,0,0
Lilliann,0,0
Cally,0,0
Gerrit,0,0
Ariyeh,0,0
Jakeb,0,0
Calla,0,0
Calli,0,0
Jaken,0,0
Suveer,0,0
Genesi,0,0
Alima,0,0
Navneet,0,0
Lobsang,0,0
Halona,0,0
Ranbir,0,0
Dracen,0,0
Lizeth,0,0
Maryjo,0,0
Abimael,0,0
Zenaya,0,0
Aaron,0.9968737257034117,0.003126274296588283
Lizett,0,0
Marinda,0,0
Joleen,0,0
Dejuan,0,0
Endy,0.7058823529411765,0.29411764705882354
Jullianna,0,0
Ryniah,0,0
Roseann,0,0
Ruthie,0,0
Natalyia,0,0
Marquelle,0,0
Daziya,0,0
Kepa,0,0
Kayleeana,0,0
Kayleeann,0,0
Yared,0.8529411764705882,0.14705882352941177
Jayk,0,0
Jaya,0,0
Yarel,0.3620689655172414,0.6379310344827587
Jayd,0.4375,0.5625
Jaye,0.43478260869565216,0.5652173913043478
Meron,0,0
Saabir,0,0
Lolita,0,0
Jaaron,0,0
Harseerat,0,0
Suraya,0,0
Yoyo,0,0
Uchechukwu,0,0
Talen,0.9066666666666666,0.09333333333333334
Talea,0,0
Taleb,0,0
Kaila,0,0
Pheona,0,0
Betzayda,0,0
Tasha,0,0
Kaili,0,0
Ahlayah,0,0
Kaily,0,0
Danil,0,0
Essance,0,0
Jhayden,0,0
Jaleal,0,0
Jaleah,0,0
Elliona,0,0
Ido,0,0
Zabdiel,0,0
Reyansh,0,0
Ida,0,0
Jehiel,0,0
Elieser,0,0
Zuha,0,0
Dymond,0,0
Acelynn,0,0
Kendahl,0,0
Leeland,0.9632352941176471,0.03676470588235294
Kharis,0,0
Esmarie,0,0
Mikai,0,0
Mikah,0.7352941176470589,0.2647058823529412
Mikal,0.8076923076923077,0.19230769230769232
Srinidhi,0,0
Ronya,0,0
Ronyn,0,0
Saisha,0,0
Meilin,0,0
Jasmen,0,0
Ofelia,0,0
Velia,0,0
Lyle,0.9438202247191011,0.056179775280898875
Dashun,0,0
Lyla,0,0
Kyllie,0,0
Scotlynn,0,0
Dimitri,0,0
Skylynne,0,0
Jaide,0,0
Sahal,0,0
Jaida,0,0
Ethaniel,0,0
Tad,0,0
Tae,0,0
Katrina,0,0
Sahar,0,0
Sahas,0,0
Katrine,0,0
Tal,0,0
Tam,0.42105263157894735,0.5789473684210527
Tao,0,0
Ferryn,0,0
Tai,0.8214285714285714,0.17857142857142858
Taj,0.922077922077922,0.07792207792207792
Fiza,0,0
